ID,Severity,Category,Path,Summary,Impact,Recommended Fix,Safe For Automated Fix,Operator Decision Needed
CA1-001,Critical,authority/host mutation,"apps/desktop/src-tauri/src/main.rs; apps/desktop/src/layout/AppShellSurfaces.tsx; apps/desktop/src/layout/AppShell.tsx","Direct shutdown/reboot controls bypass documented no-host-mutation boundary.","Live shell can mutate host power state outside gateway/approval/audit policy.","Remove or route through explicit governed capability with approval/audit/env gate.",partial,yes
CA1-002,High,filesystem authority,"services/core/internal/config/config.go; services/core/internal/api/server.go; services/core/internal/permissions/service.go","Default workspace / can become broad write authority.","Unset workspace can seed and activate broad root-scoped write policy.","Fail startup on root workspace unless explicit unsafe opt-in; never auto-activate / write policy.",yes,yes
CA1-003,High,network exposure,docker-compose.yml,"Compose defaults to wildcard bind and wildcard opt-in.","Container bring-up exposes core more broadly by default.","Default to loopback or require explicit wildcard/token settings.",yes,yes
CA1-004,High,gateway/modelruntime boundary,"services/core/internal/api/legacy_adapter_gateway_tool.go; services/core/internal/adapters/ollama.go","Legacy adapter invoke underreports network/model authority.","Model/network behavior can run outside accurate capability/modelruntime governance metadata.","Retire compatibility tool or split into accurate governed capabilities.",partial,yes
CA1-005,High,login/auth semantics,"nix/packages/forge-desktop-shell.nix; apps/desktop/src/pages/ForgeLoginPage.tsx; apps/desktop/src/App.tsx","Packaged shell login uses hardcoded client-side credentials.","Login-like UI can misrepresent authentication strength.","Use OS/display-manager auth, server challenge, or relabel as splash/unlock.",partial,yes
CA1-006,High,SSRF/config validation,"services/core/internal/api/server_settings.go; services/core/internal/adapters/ollama.go","Persisted Ollama base URL is less constrained than query override validation.","Authenticated settings can point model calls at unintended endpoints.","Apply same URL validation to persisted ollamaBaseUrl.",yes,no
CA1-007,High,docs truth alignment,"docs/operations/operator_desktop.md; docs/runbooks/forge_operator_desktop_vm.md; nix/nixos/configurations/forge-operator-vm.nix","VM/Ollama docs conflict with Nix service enablement.","Operators may troubleshoot against wrong runtime state.","Align docs with services.ollama enablement or change config.",yes,no
CA1-008,Medium,API UX/errors,services/core/internal/api,"Plain http.Error responses remain across API route families.","Mixed error shapes hurt UI/error handling consistency.","Migrate route families to structured writeAPIError responses.",yes,no
CA1-009,Medium,desktop telemetry truth,apps/desktop/src/pages/DashboardPage.tsx,"Runtime queue unavailable can display as zero.","Operators may read missing telemetry as healthy empty queue.","Render unavailable/unknown distinctly from 0.",yes,no
CA1-010,Medium,duplicate desktop catalog,"apps/desktop/src-tauri/src/main.rs; apps/desktop/src/layout/AppShellSurfaces.tsx; apps/desktop/src/pages/OperatorAppsPage.tsx","Operator app catalogs are duplicated and can drift.","Fallback UI can advertise stale/missing native apps.","Use backend catalog as sole authority or generate TS fallback.",partial,no
CA1-011,Medium,desktop route integration,"apps/desktop/src/App.tsx; apps/desktop/src/layout/AppShell.tsx","Deep-link routes can be orphaned in shell window mode.","Routed detail pages may not render when shell windows exist.","Register detail surfaces or always provide routed detail host.",partial,no
CA1-012,Medium,duplicate policy metadata,services/core/internal/lanes/service.go,"Duplicate fs.mkdir built-in lane metadata.","Policy source and audit metadata are ambiguous.","Keep one definition and add uniqueness test.",yes,no
CA1-013,Medium,docs supersession,"docs/status/desktop_shell_status.md; docs/status/desktop_nix_packaging_gap.md","Stale status docs need supersession banners.","Old status files can be mistaken as current truth.","Add supersession notes pointing to current authority docs.",yes,no
CA1-014,Medium,docs truth alignment,docs/operations/forge_graphical_shell_session.md,"G3.5 future-language mixes with later G8 truth.","Implemented session work can look future-only.","Narrow wording to G3.5 package boundary and link G8 docs.",yes,no
CA1-015,Medium,docs verification,"docs/runbooks/forge_operator_desktop_vm.md; docs/evidence/vm_boot/2026-05-18-section6-final/README.md","VM verification status appears stale.","Runbook underclaims current verification evidence.","Update header if 2026-05-18 evidence is current authority.",yes,no
CA1-016,Low,stale/debug surface,apps/desktop/src-tauri/src/window_manager.rs,"Debug console window kind exists without obvious owned UI surface.","Unreviewed debug surface can linger.","Remove or register/test explicitly.",yes,no
CA1-017,Low,registry drift detection,"apps/desktop/src/layout/toolRegistry.tsx; apps/desktop/src/layout/AppShellSurfaces.tsx","Placeholder surface fallback can hide registry drift.","Missing mounted components may be found only at runtime.","Add config test that every launchable tool is intentionally mounted.",yes,no
