id,title,category,severity,complexity,status,affected_modules,recommended_fix,acceptance_criteria,next_pass_candidate
AUTH-001,Govern capability status changes,authority,high,medium,fixed,"api/phase5.go; gateway/service.go; gateway/tool_capability_registry.go","Require approval/audit for activating high-risk capabilities and persist actor/reason","Dangerous capability activation without approval is denied or held for approval; reason and actor are persisted",yes
AUTH-002,Add Telegram sender/chat allowlist,authority,high,medium,bug,"api/telegram_gateway_service.go; api/remote.go","Enforce sender/chat allowlist for normal remote polling messages","Unauthorized sender cannot create/process remote chat",yes
AUTH-003,Audit authority-shaping APIs,authority,medium,small,gap,"lanes; permissions profiles","Emit immutable audit records for save/delete/activate","Audit rows exist for all lane/profile mutations",yes
AUTH-004,Shared approval fingerprint semantics,authority,medium,medium,refactor,"permissions; gateway approvals","Prevent broad permission lifting outside fingerprint validation","Unrelated job approval cannot authorize changed request shape",yes
DUR-001,Fail closed on restore tampering,durability,high,medium,bug,"backup/service.go","Validate checksums and entity counts before mutation","Tampered bundle leaves DB unchanged",yes
DUR-002,Decide evidence immutability,durability,medium,medium,gap,"store/migrate.go; evidence tables","Add triggers or audited update-only paths","Evidence/history mutation semantics are enforced and tested",no
CTX-001,Fix near-match restore candidate retrieval,context_restore,high,medium,bug,"aios/controllane/sqlite_store.go","Fetch by scope/kind/recency then rank lexical similarity","Similar queries are ranked; wrong workspace excluded",yes
CTX-002,Add restore indexes and benchmark,context_restore,medium,medium,upgrade,"store/migrate.go; restore tests","Add composite index and large fixture benchmark","Restore candidate query remains bounded",yes
DRM-001,Decide Dream report upsert vs append-only,dream,medium,small,docs,"aios/dream/service.go; docs","Document or change same-ID persistence behavior","Tests match documented report persistence semantics",yes
DRM-002,Add restore feedback evidence loop,dream,medium,medium,upgrade,"dream; restore scoring","Record restore outcomes as non-canonical evidence","Restore scorer can inspect prior outcome evidence",no
RULE-001,Implement or clearly defer Rule Cell Hyperlane v0,rule_cells,medium,large,gap,"aios future rule substrate; docs","Build deterministic registry or mark concept-only","Rules produce traceable proposals only under latency budget",no
MR-001,Implement modelruntime streaming,modelruntime,high,large,upgrade,"modelruntime; api/model_runtime.go","Add streaming with cancellation-safe audit and usage","Streaming clients work and partial streams are accounted",no
MR-002,Add backend process supervision,modelruntime,high,large,upgrade,"modelruntime backends","Own backend process lifecycle and health","Backend crash/degraded states are bounded and visible",no
MR-003,Add provider cost and egress governance,modelruntime,medium,medium,gap,"modelruntime providers; config","Add remote provider budgets and policy","Cloud usage cannot exceed policy budget",yes
GATE-001,Add SSRF denial,gateway,high,medium,bug,"gateway network tools; provider endpoints","Deny private/link-local/metadata/loopback unless allowed","SSRF deny table tests pass",yes
GATE-002,Bound process output before buffering,gateway,medium,medium,bug,"gateway process tool","Use bounded writers/streaming capture","Huge output does not grow memory unbounded",yes
UI-001,Accurate global runtime state,api_ui,high,medium,gap,"AppShell.tsx; health diagnostics","Show safe-mode modelruntime GPU provider degradation","Shell accurately shows CPU-only/modelruntime unavailable",yes
UI-002,Move stable contracts to shared,api_ui,medium,medium,refactor,"apps/desktop/src/lib/api.ts; packages/shared","Promote modelruntime Dream restore contracts to shared","Desktop imports shared contracts without drift",yes
SEC-001,Default core bind to loopback,security,high,small,bug,"services/core/main.go; config","Bind 127.0.0.1 by default and require explicit public bind","Default server does not listen on all interfaces",yes
SEC-003,Add symlink and traversal suite,security,high,medium,test,"gateway; artifacts; model import; backup","Add fixtures and resolved-path containment","Symlink/path escapes are denied",yes
PERF-001,Restore large-set benchmark,performance,medium,medium,test,"context restore scorer","Benchmark large snapshot sets and query plans","Threshold and index use are documented",no
DOC-001,Update stale review/status docs,docs,medium,small,docs,"docs/reviews/forge_full_system_review_20260425; docs/status","Mark completed passes and remaining gaps accurately","Docs no longer list completed passes as missing",yes
TEST-001,Add Windows-compatible smoke,testing,high,medium,test,"scripts; package.json","Add Node/PowerShell smoke or wrapper","npm run smoke passes on Windows and Linux",yes
TEST-002,Add frontend tests and lint,testing,medium,medium,test,"apps/desktop; packages","Add Vitest/RTL and JS lint or equivalent","Root scripts include JS/TS test and lint lane",no
