id,severity,category,file,line,summary,impact,recommended_fix,difficulty,safe_for_automated_fix,operator_decision_needed
H-1,High,live-ui-mock,apps/desktop/src/pages/SystemPage.tsx,225-250,Hardcoded cockpitRows render placeholder statuses as if live,Violates G6 (no fake healthy state),Remove rows or render explicit unavailable state,Small,yes,no
H-2,High,duplicate,apps/desktop/src/layout/AppShellSurfaces.tsx + apps/desktop/src/pages/OperatorAppsPage.tsx,29 / 13,FALLBACK_OPERATOR_APPS defined twice with same shape,Drift risk between fallback paths,Import shared export from AppShellSurfaces,Small,yes,no
H-3,High,test-failure,services/core/internal/hostbridge/hostbridge_test.go,126,TestExecRunnerRejectsOversizeCommandOutput returns context-deadline instead of size error,Masks regressions in stdout cap,Tighten cap or extend deadline; investigate race,Medium,no,yes (root-cause first)
H-4,High,test-failure,apps/desktop/src/pages/ChatPage.test.tsx,262,getByRole Send fails because Stop button still shown while streaming,Vitest CI gate broken,Assert Stop first then await Send,Small,yes,no
M-1,Medium,docs-drift,docs/reviews/current_phase_status.md + docs/operations/forge_graphical_shell_session.md + docs/status/dangerous_capabilities.md + docs/DESKTOP_SHELL.md + Full-Code-Review.md,~43 / ~43 / n/a / n/a / 1,Docs imply 'no host mutation' but Tauri shell has policy-gated shutdown/reboot,Operator confusion,Supersede docs with FORGE_SHELL_DIRECT_SYSTEM_CONTROL note; add shell.power_action to dangerous_capabilities.md,Small,yes,yes (wording approval)
M-2,Medium,startup-shutdown,services/core/main.go,46-52,os.Exit(1) from HTTP server goroutine skips defer st.Close(),Possible unclean shutdown on startup failure,Signal failure to main or call store.Close() before exit,Small,yes,no
M-3,Medium,auth-fragility,services/core/internal/api/auth.go,18-39,requireAPIAuth no-ops when token empty,Empty-token can permit unauth requests if wildcard bind allowed,Add startup warn log even on loopback; tighten validator,Small,yes,yes (policy)
M-4,Medium,css-duplicate,apps/desktop/src/styles/forge-os-shell.css,multiple,Repeated selectors for activity-log/context-inspector/statusbar,Maintenance debt,Consolidate selectors in a single block per class,Medium,partial,no
M-5,Medium,convention-filter,services/core/internal/aios/autonomy/runner.go,669,Filters IDs by fake-/placeholder-/candidate- prefix,Relies on test-data convention,Add test asserting generators do not use those prefixes or switch to typed tag,Medium,no,no
M-6,Medium,compat-path,apps/desktop/src/layout/AppShell.tsx,318,DETACHED_TAURI_TOOL_WINDOWS compatibility path,May open detached webviews instead of in-shell,Confirm production false; document flag,Small,partial,yes (decision to keep flag)
M-7,Medium,silent-fallback,apps/desktop/src/pages/SystemPage.tsx,17-35,statusClass() silently maps unknown statuses to muted,Hides API drift,Add console.warn in non-prod,Small,yes,no
M-8,Medium,ci-gate,apps/desktop/src/pages/ChatPage.test.tsx,262,Single failing test masks future regressions,CI quality bar degraded,Tied to H-4,Small,yes,no
L-1,Low,hardcoded-list,apps/desktop/src/components/CommandBar.tsx,19-82,CommandBar has hardcoded action array,New commands need UI patch,Document or add registry API,Small,partial,no
L-2,Low,route-fragility,apps/desktop/src/layout/AppShell.tsx,407-411,Detail routes detected via pathname.startsWith,Fragile to new detail routes,Centralise in route table,Medium,partial,no
L-3,Low,type-validation,apps/desktop/src/lib/api.ts,n/a,No runtime API response validation,Silent type mismatch risk,Add zod/typia for critical payloads,Medium,partial,no
L-4,Low,cache-staleness,apps/desktop/src/pages/ModelsPage.tsx,69-70,Cached model id not validated against live list,Empty initial render possible,Validate after fetch,Small,yes,no
L-5,Low,docs-mislabel,Full-Code-Review.md,1,Prompt template stored at repo root looks like a review output,Operator confusion,Add [PROMPT-TEMPLATE-ONLY] header; consider move to docs/prompt-packs/,Small,yes,yes (move?)
L-6,Low,doc-wording,AGENTS.md vs docs/status/current_authority_sources.md,n/a,Legacy adapter wording differs ('was removed' vs 'is not authority'),Cosmetic,Unify wording in next docs pass,Small,yes,no
L-7,Low,stale-symlink,/result and /result-1,n/a,Nix result symlinks point at stale store paths,Provenance retained per AGENTS.md,Track in build-artefact manifest,Small,yes,yes
L-8,Low,stale-artefact,.vm-build-core.log + .vm-nix-store/ + .vm-nix-tmp/,n/a,Repo-root VM build artefacts likely stale,Provenance retained per AGENTS.md,Operator decision on retention,Small,yes,yes
L-9,Low,gitignore-gap,Full-Code-Review.md,n/a,Prompt-template-only file not ignored,Continues to ship as repo content,Add to .gitignore or relocate,Small,yes,yes
L-10,Low,deferred-feature,services/core/internal/api/discord_gateway_service.go,n/a,Discord gateway returns NOT_IMPLEMENTED,Intentional but undocumented in roadmap,Add to docs/status/implementation_matrix.md,Small,yes,no
